;open;high;low;close;1h_chg%;24h_chg%;next_1h_chg;next_1h_high%;next_3h_high%;next_24h_chg;volume;qav;num_trades;taker_base_vol;taker_quote_vol;taker%;open_interest;oi_24h_chg%;oi_7d_chg%;%_long;%L_24h_chg%;%L_7d_chg%;fundings;fund_24h_chg;fund_7d_chg;liquidations_long;liquidations_short
30/10/2023 01:00;34460,03;34520,93;34405;34421,08;-0,11%;;-0,28%;0,00%;0,00%;0,26%;646,22287;22275299,28;26275;278,27675;9591119,143;43%;88328,038;;;46,07;;;0,01;;;38735,2125;38735,2125
30/10/2023 02:00;34421,09;34421,09;34181,47;34324,58;-0,28%;;-0,16%;0,01%;0,07%;0,36%;2171,76958;74477545,72;62337;1087,67203;37295453,4;50%;86955,682;;;46,22;;;0,01;;;117266,156;117266,156
30/10/2023 03:00;34324,59;34328,54;34233,43;34270,42;-0,16%;;0,15%;0,23%;0,23%;0,24%;677,29489;23219588,45;24902;321,48181;11020649,88;47%;86863,861;;;46,73;;;0,01;;;4216,0095;4216,0095
30/10/2023 04:00;34270,42;34347,54;34226,64;34322,23;0,15%;;-0,21%;0,08%;0,08%;-0,33%;675,76381;23179888,22;22482;309,43946;10614309,78;46%;86767,397;;;47,2;;;0,01;;;26910,1728;26910,1728
30/10/2023 05:00;34322,22;34348,55;34225;34250,99;-0,21%;;0,15%;0,21%;0,54%;-0,04%;785,59137;26937654,44;25225;283,05106;9705352,224;36%;86731,391;;;48,21;;;0,01;;;28437,128;28437,128
30/10/2023 06:00;34250,98;34322,7;34184;34301,19;0,15%;;-0,31%;0,13%;1,10%;-0,06%;914,7039;31343643,51;33325;416,6937;14280179,92;46%;86560,449;;;48,56;;;0,01;;;209180,3038;209180,3038
30/10/2023 07:00;34301,18;34344,2;34114,74;34193,46;-0,31%;;0,56%;0,71%;1,42%;0,16%;1561,43532;53431171,97;51999;580,09284;19851498,88;37%;85858,961;;;48,68;;;0,01;;;113584,8274;113584,8274
30/10/2023 08:00;34193,46;34437,11;34161,1;34385,32;0,56%;;0,43%;0,86%;0,86%;-0,70%;1613,6751;55368241,23;55796;787,27867;27016251,67;49%;85006,209;;;49,3;;;0,01;;;2097,5216;2097,5216
30/10/2023 09:00;34385,33;34679,81;34383,79;34532,09;0,43%;;0,02%;0,14%;0,94%;-0,38%;2111,40529;72925181,23;69774;1193,791;41227084,7;57%;85966,629;;;49,58;;;0,01;;;138,1496;138,1496
30/10/2023 10:00;34532,1;34580;34425,02;34537,52;0,02%;;0,21%;0,35%;0,92%;-0,36%;1055,42355;36424239,19;41058;480,6718;16589150,66;46%;86080,618;;;48;;;0,01;;;119787,8412;119787,8412
30/10/2023 11:00;34537,52;34656,68;34475;34608,51;0,21%;;-0,06%;0,72%;0,72%;-0,51%;1283,49623;44373724,62;39187;609,84008;21088639,63;48%;87307,957;;;48,36;;;0,01;;;588,6743;588,6743
30/10/2023 12:00;34608,51;34856;34527,06;34587,49;-0,06%;;0,21%;0,53%;0,70%;-0,29%;2895,53396;100477691,8;87739;1496,38218;51927858,29;52%;87534,308;;;48,09;;;0,01;;;153399,5508;153399,5508
30/10/2023 13:00;34587,49;34771,42;34470;34660,84;0,21%;;-0,14%;0,49%;0,49%;-1,05%;1953,38529;67681059,81;65863;908,67089;31484620,13;47%;87146,011;;;47,41;;;0,01;;;231150,2236;231150,2236
30/10/2023 14:00;34660,84;34831;34553,1;34611,69;-0,14%;0,47%;0,13%;0,43%;0,43%;-1,17%;2533,96231;87895972,94;76655;1162,70312;40331482,35;46%;87220,028;-3,33%;;47,31;0,47%;;0,01;0,00%;;413931,0131;413931,0131
30/10/2023 15:00;34611,69;34760;34600,64;34656,32;0,13%;0,75%;-0,57%;0,00%;0,00%;-0,98%;1487,25412;51573701,97;51019;733,38935;25429696,5;49%;87409,298;-3,07%;;47,05;1,01%;;0,01;0,00%;;8527,467;8527,467
30/10/2023 16:00;34656,33;34656,33;34360;34459,03;-0,57%;-0,30%;-0,44%;0,02%;0,02%;-0,54%;1962,47727;67717385,46;57642;716,25929;24709386,73;36%;86433,173;-4,15%;;46,72;0,65%;;0,01;0,00%;;3316395,589;3316395,589
30/10/2023 17:00;34459,04;34464,66;34062,84;34307,78;-0,44%;-1,08%;0,02%;0,15%;0,38%;0,34%;3528,69996;120798836,9;94727;1458,6099;49921653,61;41%;88052,355;-3,04%;;47,7;3,09%;;0,01;0,00%;;530976,1099;530976,1099
30/10/2023 18:00;34307,79;34359,71;34264,57;34313,99;0,02%;-0,72%;0,34%;0,37%;0,75%;0,20%;892,98675;30646027,47;39026;380,27636;13050006,71;43%;88166,374;-1,85%;;50;8,23%;;0,01;0,00%;;34,3189;34,3189
30/10/2023 19:00;34314;34439,83;34285,8;34432,11;0,34%;-0,41%;-0,05%;0,02%;0,40%;0,13%;947,64111;32574301,75;37337;448,18292;15405448,41;47%;87692,11;-1,92%;;50,06;7,66%;;0,01;0,00%;;413,28;413,28
30/10/2023 20:00;34432,12;34438,45;34320;34414,96;-0,05%;-0,07%;0,33%;0,45%;0,45%;0,36%;886,05294;30461997,79;37293;322,74569;11094270,4;36%;87580,204;-1,24%;;50,28;7,85%;;0,01;0,00%;;2237,703;2237,703
30/10/2023 21:00;34414,95;34569,68;34359,9;34528,58;0,33%;-0,50%;-0,17%;0,03%;0,21%;0,30%;836,92408;28857348,69;35395;353,32723;12183330,37;42%;86612,722;-2,17%;;50,21;8,63%;;0,01;0,00%;;#N/A;#N/A
30/10/2023 22:00;34528,57;34540;34455,01;34468,55;-0,17%;-0,17%;0,02%;0,12%;0,38%;0,02%;847,17978;29212589,01;28837;337,88078;11650774,01;40%;86873,364;-1,35%;;49,86;8,18%;;0,01;0,00%;;#N/A;#N/A
30/10/2023 23:00;34468,55;34509,61;34448,31;34474,73;0,02%;0,04%;0,11%;0,36%;0,36%;0,24%;644,55025;22222195,59;23357;238,62068;8226590,909;37%;86800,523;-1,89%;;49,79;8,43%;;0,01;0,00%;;103,4514;103,4514
31/10/2023 00:00;34474,74;34600;34448,95;34511,89;0,11%;0,26%;-0,18%;0,08%;0,08%;0,37%;1509,12335;52099329,95;46590;664,21067;22931957,8;44%;86490,709;-2,08%;;49,79;8,07%;;0,01;0,00%;;11704,1445;11704,1445
31/10/2023 01:00;34511,89;34540;34388,99;34449,21;-0,18%;0,36%;-0,28%;0,03%;0,03%;0,17%;1054,34623;36324462,73;37741;452,70697;15596134,21;43%;86603,706;-0,40%;;49,95;8,07%;;0,01;0,00%;;165161,5077;165161,5077
31/10/2023 02:00;34449,21;34460;34260,02;34352,01;-0,28%;0,24%;-0,42%;0,07%;0,07%;0,41%;1337,74014;45959745,55;43090;486,6403;16720681,46;36%;86865,555;0,00%;;49,74;6,44%;;0,01;0,00%;;214893,694;214893,694
