Date;Value;Value_Classification;BTC_Closing;BTC_Volume
12/03/2018;41.0;Fear;9205.1201171875;6457399808
13/03/2018;41.0;Fear;9194.849609375;5991139840
14/03/2018;40.0;Fear;8269.8095703125;6438230016
15/03/2018;32.0;Fear;8300.8603515625;6834429952
16/03/2018;33.0;Fear;8338.349609375;5289379840
17/03/2018;31.0;Fear;7916.8798828125;4426149888
18/03/2018;29.0;Fear;8223.6796875;6639190016
19/03/2018;29.0;Fear;8630.650390625;6729110016
20/03/2018;37.0;Fear;8913.4697265625;6361789952
21/03/2018;36.0;Fear;8929.2802734375;6043129856
22/03/2018;36.0;Fear;8728.4697265625;5530390016
23/03/2018;28.0;Fear;8879.6201171875;5954120192
24/03/2018;32.0;Fear;8668.1201171875;5664600064
25/03/2018;30.0;Fear;8495.7802734375;4569880064
26/03/2018;31.0;Fear;8209.400390625;5921039872
27/03/2018;24.0;Extreme Fear;7833.0400390625;5378250240
28/03/2018;24.0;Extreme Fear;7954.47998046875;4935289856
29/03/2018;18.0;Extreme Fear;7165.7001953125;6361229824
30/03/2018;12.0;Extreme Fear;6890.52001953125;6289509888
31/03/2018;16.0;Extreme Fear;6973.52978515625;4553269760
01/04/2018;16.0;Extreme Fear;6844.22998046875;4532100096
02/04/2018;11.0;Extreme Fear;7083.7998046875;4333440000
03/04/2018;22.0;Extreme Fear;7456.10986328125;5499700224
04/04/2018;22.0;Extreme Fear;6853.83984375;4936000000
05/04/2018;17.0;Extreme Fear;6811.47021484375;5639320064
06/04/2018;19.0;Extreme Fear;6636.31982421875;3766810112
07/04/2018;20.0;Extreme Fear;6911.08984375;3976610048
08/04/2018;17.0;Extreme Fear;7023.52001953125;3652499968
09/04/2018;21.0;Extreme Fear;6770.72998046875;4894060032
10/04/2018;18.0;Extreme Fear;6834.759765625;4272750080
11/04/2018;20.0;Extreme Fear;6968.31982421875;4641889792
12/04/2018;18.0;Extreme Fear;7889.25;8906250240
13/04/2018;23.0;Extreme Fear;7895.9599609375;7764460032
14/04/2018;;;7986.240234375;5191430144
15/04/2018;;;8329.1103515625;5244480000
16/04/2018;;;8058.669921875;5631309824
17/04/2018;26.0;Fear;7902.08984375;6900879872
18/04/2018;24.0;Extreme Fear;8163.419921875;6529909760
19/04/2018;25.0;Extreme Fear;8294.3095703125;7063209984
20/04/2018;26.0;Fear;8845.830078125;8438110208
21/04/2018;32.0;Fear;8895.580078125;7548550144
22/04/2018;31.0;Fear;8802.4599609375;6629899776
23/04/2018;28.0;Fear;8930.8798828125;6925190144
24/04/2018;29.0;Fear;9697.5;10678800384
25/04/2018;64.0;Greed;8845.740234375;11083100160
26/04/2018;47.0;Neutral;9281.509765625;8970559488
27/04/2018;55.0;Greed;8987.0498046875;7566289920
28/04/2018;54.0;Neutral;9348.48046875;7805479936
29/04/2018;61.0;Greed;9419.080078125;8853000192
30/04/2018;59.0;Greed;9240.5498046875;8673920000
01/05/2018;56.0;Greed;9119.009765625;7713019904
02/05/2018;52.0;Neutral;9235.919921875;7558159872
03/05/2018;55.0;Greed;9743.8603515625;10207299584
04/05/2018;56.0;Greed;9700.759765625;8217829888
05/05/2018;63.0;Greed;9858.150390625;7651939840
06/05/2018;67.0;Greed;9654.7998046875;7222280192
07/05/2018;56.0;Greed;9373.009765625;7394019840
08/05/2018;62.0;Greed;9234.8203125;7415869952
09/05/2018;53.0;Neutral;9325.1796875;7226890240
10/05/2018;63.0;Greed;9043.9404296875;6906699776
11/05/2018;41.0;Fear;8441.490234375;8488520192
12/05/2018;44.0;Fear;8504.8896484375;6821380096
13/05/2018;40.0;Fear;8723.9404296875;5866379776
14/05/2018;40.0;Fear;8716.7900390625;7364149760
15/05/2018;40.0;Fear;8510.3798828125;6705710080
16/05/2018;32.0;Fear;8368.830078125;6760220160
17/05/2018;31.0;Fear;8094.31982421875;5862530048
18/05/2018;37.0;Fear;8250.9697265625;5764190208
19/05/2018;31.0;Fear;8247.1796875;4712399872
20/05/2018;32.0;Fear;8513.25;5191059968
21/05/2018;41.0;Fear;8418.990234375;5154990080
22/05/2018;30.0;Fear;8041.77978515625;5137010176
23/05/2018;26.0;Fear;7557.81982421875;6491120128
24/05/2018;27.0;Fear;7587.33984375;6049220096
25/05/2018;25.0;Extreme Fear;7480.14013671875;4867829760
26/05/2018;23.0;Extreme Fear;7355.8798828125;4051539968
27/05/2018;19.0;Extreme Fear;7368.22021484375;4056519936
28/05/2018;22.0;Extreme Fear;7135.990234375;5040600064
29/05/2018;16.0;Extreme Fear;7472.58984375;5662660096
30/05/2018;38.0;Fear;7406.52001953125;4922540032
31/05/2018;25.0;Extreme Fear;7494.169921875;5127130112
01/06/2018;24.0;Extreme Fear;7541.4501953125;4921460224
02/06/2018;27.0;Fear;7643.4501953125;4939299840
03/06/2018;40.0;Fear;7720.25;4851760128
04/06/2018;41.0;Fear;7514.47021484375;4993169920
05/06/2018;26.0;Fear;7633.759765625;4961739776
06/06/2018;42.0;Fear;7653.97998046875;4692259840
07/06/2018;38.0;Fear;7678.240234375;4485799936
08/06/2018;40.0;Fear;7624.919921875;4227579904
09/06/2018;39.0;Fear;7531.97998046875;3845220096
10/06/2018;24.0;Extreme Fear;6786.02001953125;5804839936
11/06/2018;15.0;Extreme Fear;6906.919921875;4745269760
12/06/2018;19.0;Extreme Fear;6582.35986328125;4654380032
13/06/2018;19.0;Extreme Fear;6349.89990234375;5052349952
14/06/2018;17.0;Extreme Fear;6675.35009765625;5138710016
15/06/2018;26.0;Fear;6456.580078125;3955389952
16/06/2018;22.0;Extreme Fear;6550.16015625;3194170112
17/06/2018;23.0;Extreme Fear;6499.27001953125;3104019968
18/06/2018;27.0;Fear;6734.81982421875;4039200000
19/06/2018;32.0;Fear;6769.93994140625;4057029888
20/06/2018;34.0;Fear;6776.5498046875;3888640000
21/06/2018;37.0;Fear;6729.740234375;3529129984
22/06/2018;28.0;Fear;6083.68994140625;5079810048
23/06/2018;17.0;Extreme Fear;6162.47998046875;3431360000
24/06/2018;15.0;Extreme Fear;6173.22998046875;4566909952
25/06/2018;16.0;Extreme Fear;6249.18017578125;5500810240
26/06/2018;21.0;Extreme Fear;6093.669921875;3279759872
27/06/2018;18.0;Extreme Fear;6157.1298828125;3296219904
28/06/2018;20.0;Extreme Fear;5903.43994140625;3467800064
29/06/2018;16.0;Extreme Fear;6218.2998046875;3966230016
30/06/2018;22.0;Extreme Fear;6404.0;4543860224
01/07/2018;27.0;Fear;6385.81982421875;4788259840
02/07/2018;27.0;Fear;6614.18017578125;4396930048
03/07/2018;31.0;Fear;6529.58984375;4672309760
04/07/2018;33.0;Fear;6597.5498046875;4176689920
05/07/2018;37.0;Fear;6639.14013671875;4999240192
06/07/2018;34.0;Fear;6673.5;4313959936
07/07/2018;34.0;Fear;6856.93017578125;3961080064
08/07/2018;38.0;Fear;6773.8798828125;3386210048
09/07/2018;39.0;Fear;6741.75;3718129920
10/07/2018;37.0;Fear;6329.9501953125;4052430080
11/07/2018;29.0;Fear;6394.7099609375;3644859904
12/07/2018;33.0;Fear;6228.81005859375;3770170112
13/07/2018;29.0;Fear;6238.0498046875;3805400064
14/07/2018;29.0;Fear;6276.1201171875;2923670016
15/07/2018;32.0;Fear;6359.64013671875;3285459968
16/07/2018;36.0;Fear;6741.75;4725799936
17/07/2018;39.0;Fear;7321.0400390625;5961950208
18/07/2018;42.0;Fear;7370.77978515625;6103410176
19/07/2018;44.0;Fear;7466.85986328125;5111629824
20/07/2018;47.0;Neutral;7354.1298828125;4936869888
21/07/2018;43.0;Fear;7419.2900390625;3726609920
22/07/2018;46.0;Fear;7418.490234375;3695460096
23/07/2018;44.0;Fear;7711.10986328125;5132480000
24/07/2018;49.0;Neutral;8424.26953125;7277689856
25/07/2018;54.0;Neutral;8181.39013671875;5845400064
26/07/2018;53.0;Neutral;7951.580078125;4899089920
27/07/2018;47.0;Neutral;8165.009765625;5195879936
28/07/2018;54.0;Neutral;8192.150390625;3988750080
29/07/2018;54.0;Neutral;8218.4599609375;4107190016
30/07/2018;53.0;Neutral;8180.47998046875;5551400000
31/07/2018;48.0;Neutral;7780.43994140625;5287530000
01/08/2018;39.0;Fear;7624.91015625;4797620000
02/08/2018;39.0;Fear;7567.14990234375;4214110000
03/08/2018;36.0;Fear;7434.39013671875;4627150000
04/08/2018;31.0;Fear;7032.85009765625;4268390000
05/08/2018;23.0;Extreme Fear;7068.47998046875;3679110000
06/08/2018;25.0;Extreme Fear;6951.7998046875;3925900000
07/08/2018;25.0;Extreme Fear;6753.1201171875;4682800000
08/08/2018;23.0;Extreme Fear;6305.7998046875;5064430000
09/08/2018;19.0;Extreme Fear;6568.22998046875;4267040000
10/08/2018;21.0;Extreme Fear;6184.7099609375;4528680000
11/08/2018;18.0;Extreme Fear;6295.72998046875;4047850000
12/08/2018;18.0;Extreme Fear;6322.68994140625;5665250000
13/08/2018;21.0;Extreme Fear;6297.56982421875;4083980000
14/08/2018;16.0;Extreme Fear;6199.7099609375;5301700000
15/08/2018;18.0;Extreme Fear;6308.52001953125;4895450000
16/08/2018;21.0;Extreme Fear;6334.72998046875;4328420000
17/08/2018;19.0;Extreme Fear;6580.6298828125;4992990000
18/08/2018;24.0;Extreme Fear;6423.759765625;3984520000
19/08/2018;27.0;Fear;6506.06982421875;3311170000
20/08/2018;26.0;Fear;6308.52978515625;3665100000
21/08/2018;19.0;Extreme Fear;6488.759765625;3377180000
22/08/2018;21.0;Extreme Fear;6376.7099609375;4668110000
23/08/2018;18.0;Extreme Fear;6534.8798828125;3426180000
24/08/2018;19.0;Extreme Fear;6719.9599609375;4097820000
25/08/2018;22.0;Extreme Fear;6763.18994140625;3312600000
26/08/2018;19.0;Extreme Fear;6707.259765625;3295500000
27/08/2018;18.0;Extreme Fear;6884.64013671875;4019000000
28/08/2018;19.0;Extreme Fear;7096.27978515625;4659940000
29/08/2018;19.0;Extreme Fear;7047.16015625;4145880000
30/08/2018;22.0;Extreme Fear;6978.22998046875;4463250000
31/08/2018;17.0;Extreme Fear;7037.580078125;4495650000
01/09/2018;21.0;Extreme Fear;7193.25;4116050000
02/09/2018;18.0;Extreme Fear;7272.72021484375;4329540000
03/09/2018;19.0;Extreme Fear;7260.06005859375;4087760000
04/09/2018;26.0;Fear;7361.66015625;4273640000
05/09/2018;17.0;Extreme Fear;6792.830078125;5800460000
06/09/2018;14.0;Extreme Fear;6529.169921875;5523470000
07/09/2018;17.0;Extreme Fear;6467.06982421875;4264680000
08/09/2018;18.0;Extreme Fear;6225.97998046875;3835060000
09/09/2018;13.0;Extreme Fear;6300.85986328125;3671890000
10/09/2018;15.0;Extreme Fear;6329.7001953125;3714100000
11/09/2018;18.0;Extreme Fear;6321.2001953125;3849910000
12/09/2018;14.0;Extreme Fear;6351.7998046875;4064230000
13/09/2018;20.0;Extreme Fear;6517.31005859375;4210910000
14/09/2018;23.0;Extreme Fear;6512.7099609375;4076220000
15/09/2018;24.0;Extreme Fear;6543.2001953125;3216300000
16/09/2018;28.0;Fear;6517.18017578125;3273730000
17/09/2018;25.0;Extreme Fear;6281.2001953125;3910780000
18/09/2018;21.0;Extreme Fear;6371.2998046875;4180090000
19/09/2018;24.0;Extreme Fear;6398.5400390625;4431340000
20/09/2018;24.0;Extreme Fear;6519.669921875;4348110000
21/09/2018;31.0;Fear;6734.9501953125;6531940000
22/09/2018;35.0;Fear;6721.97998046875;4509660000
23/09/2018;38.0;Fear;6710.6298828125;4197500000
24/09/2018;43.0;Fear;6595.41015625;4177310000
25/09/2018;37.0;Fear;6446.47021484375;4726180000
26/09/2018;37.0;Fear;6495.0;4437300000
27/09/2018;42.0;Fear;6676.75;4606810000
28/09/2018;42.0;Fear;6644.1298828125;5014430000
29/09/2018;37.0;Fear;6601.9599609375;4363690000
30/09/2018;34.0;Fear;6625.56005859375;4002280000
01/10/2018;35.0;Fear;6589.6201171875;4000970000
02/10/2018;33.0;Fear;6556.10009765625;3979260000
03/10/2018;36.0;Fear;6502.58984375;3887310000
04/10/2018;29.0;Fear;6576.68994140625;3838410000
05/10/2018;37.0;Fear;6622.47998046875;3671500000
06/10/2018;34.0;Fear;6588.31005859375;3259740000
07/10/2018;29.0;Fear;6602.9501953125;3306630000
08/10/2018;26.0;Fear;6652.22998046875;3979460000
09/10/2018;31.0;Fear;6642.64013671875;3580810000
10/10/2018;28.0;Fear;6585.52978515625;3787650000
11/10/2018;19.0;Extreme Fear;6256.240234375;5181640000
12/10/2018;13.0;Extreme Fear;6274.580078125;3783500000
13/10/2018;15.0;Extreme Fear;6285.990234375;3064030000
14/10/2018;18.0;Extreme Fear;6290.93017578125;3085320000
15/10/2018;20.0;Extreme Fear;6596.5400390625;7370770000
16/10/2018;24.0;Extreme Fear;6596.10986328125;4074800000
17/10/2018;23.0;Extreme Fear;6544.43017578125;4088420000
18/10/2018;26.0;Fear;6476.7099609375;3924080000
19/10/2018;24.0;Extreme Fear;6465.41015625;3578870000
20/10/2018;21.0;Extreme Fear;6489.18994140625;3379130000
21/10/2018;21.0;Extreme Fear;6482.35009765625;3253610000
22/10/2018;27.0;Fear;6487.16015625;3672860000
23/10/2018;24.0;Extreme Fear;6475.740234375;3716150000
24/10/2018;23.0;Extreme Fear;6495.83984375;3424670000
25/10/2018;25.0;Extreme Fear;6476.2900390625;3230550000
26/10/2018;29.0;Fear;6474.75;3306050000
27/10/2018;33.0;Fear;6480.3798828125;3393250000
28/10/2018;35.0;Fear;6486.39013671875;3445190000
29/10/2018;34.0;Fear;6332.6298828125;4199910000
30/10/2018;31.0;Fear;6334.27001953125;3781100000
31/10/2018;32.0;Fear;6317.60986328125;4191240000
01/11/2018;29.0;Fear;6377.77978515625;3789400000
02/11/2018;36.0;Fear;6388.43994140625;4234870000
03/11/2018;36.0;Fear;6361.259765625;3658640000
04/11/2018;41.0;Fear;6376.1298828125;4390020000
05/11/2018;42.0;Fear;6419.66015625;4174800000
06/11/2018;42.0;Fear;6461.009765625;4700040000
07/11/2018;48.0;Neutral;6530.14013671875;4941260000
08/11/2018;51.0;Neutral;6453.72021484375;4665260000
09/11/2018;47.0;Neutral;6385.6201171875;4346820000
10/11/2018;52.0;Neutral;6409.22021484375;3705320000
11/11/2018;54.0;Neutral;6411.27001953125;3939060000
12/11/2018;52.0;Neutral;6371.27001953125;4295770000
13/11/2018;56.0;Greed;6359.490234375;4503800000
14/11/2018;49.0;Neutral;5738.35009765625;7398940000
15/11/2018;28.0;Fear;5648.02978515625;7032140000
16/11/2018;23.0;Extreme Fear;5575.5498046875;5279320000
17/11/2018;24.0;Extreme Fear;5554.330078125;4303150000
18/11/2018;26.0;Fear;5623.5400390625;4159680000
19/11/2018;28.0;Fear;4871.490234375;7039560000
20/11/2018;21.0;Extreme Fear;4451.8701171875;8428290000
21/11/2018;15.0;Extreme Fear;4602.169921875;6120120000
22/11/2018;14.0;Extreme Fear;4365.93994140625;4569370000
23/11/2018;12.0;Extreme Fear;4347.10986328125;4871490000
24/11/2018;15.0;Extreme Fear;3880.760009765625;4679500000
25/11/2018;9.0;Extreme Fear;4009.969970703125;6825640000
26/11/2018;17.0;Extreme Fear;3779.1298828125;6476900000
27/11/2018;11.0;Extreme Fear;3820.719970703125;5998720000
28/11/2018;14.0;Extreme Fear;4257.419921875;7280280000
29/11/2018;18.0;Extreme Fear;4278.8466796875;6503347767
30/11/2018;19.0;Extreme Fear;4017.2685546875;6048016717
01/12/2018;13.0;Extreme Fear;4214.671875;5375314093
02/12/2018;15.0;Extreme Fear;4139.8779296875;5262697895
03/12/2018;17.0;Extreme Fear;3894.130859375;5089570994
04/12/2018;12.0;Extreme Fear;3956.893798828125;5028069239
05/12/2018;19.0;Extreme Fear;3753.994873046875;5302481574
06/12/2018;13.0;Extreme Fear;3521.101806640625;5878333109
07/12/2018;11.0;Extreme Fear;3419.937255859375;6835615448
08/12/2018;11.0;Extreme Fear;3476.11474609375;5305024497
09/12/2018;14.0;Extreme Fear;3614.234375;4947372847
10/12/2018;19.0;Extreme Fear;3502.656005859375;5020968740
11/12/2018;15.0;Extreme Fear;3424.588134765625;4696765188
12/12/2018;14.0;Extreme Fear;3486.9501953125;4139364829
13/12/2018;14.0;Extreme Fear;3313.67724609375;4343372456
14/12/2018;10.0;Extreme Fear;3242.48486328125;4372763663
15/12/2018;11.0;Extreme Fear;3236.76171875;3551763561
16/12/2018;13.0;Extreme Fear;3252.839111328125;3744248994
17/12/2018;17.0;Extreme Fear;3545.86474609375;5409247918
18/12/2018;23.0;Extreme Fear;3696.05908203125;5911325473
19/12/2018;21.0;Extreme Fear;3745.95068359375;6810689119
20/12/2018;27.0;Fear;4134.44140625;8927129279
21/12/2018;35.0;Fear;3896.543701171875;7206015706
22/12/2018;28.0;Fear;4014.1826171875;5605823233
23/12/2018;31.0;Fear;3998.980224609375;6151275490
24/12/2018;25.0;Extreme Fear;4078.59912109375;7240968501
25/12/2018;33.0;Fear;3815.49072265625;6158207293
26/12/2018;26.0;Fear;3857.297607421875;5326547918
27/12/2018;29.0;Fear;3654.83349609375;5130222366
28/12/2018;21.0;Extreme Fear;3923.918701171875;5631554348
29/12/2018;24.0;Extreme Fear;3820.40869140625;4991655917
30/12/2018;23.0;Extreme Fear;3865.95263671875;4770578575
31/12/2018;26.0;Fear;3742.700439453125;4661840806
01/01/2019;24.0;Extreme Fear;3843.52001953125;4324200990
02/01/2019;30.0;Fear;3943.409423828125;5244856836
03/01/2019;33.0;Fear;3836.7412109375;4530215219
04/01/2019;48.0;Neutral;3857.717529296875;4847965467
05/01/2019;36.0;Fear;3845.194580078125;5137609824
06/01/2019;31.0;Fear;4076.632568359375;5597027440
07/01/2019;39.0;Fear;4025.248291015625;5228625637
08/01/2019;39.0;Fear;4030.847900390625;5306593305
09/01/2019;42.0;Fear;4035.29638671875;5115905225
10/01/2019;37.0;Fear;3678.924560546875;6874143796
11/01/2019;19.0;Extreme Fear;3687.365478515625;5538712865
12/01/2019;22.0;Extreme Fear;3661.301025390625;4778170883
13/01/2019;21.0;Extreme Fear;3552.953125;4681302466
14/01/2019;16.0;Extreme Fear;3706.05224609375;5651384490
15/01/2019;27.0;Fear;3630.67529296875;5537192302
16/01/2019;24.0;Extreme Fear;3655.0068359375;5394457145
17/01/2019;28.0;Fear;3678.56396484375;5464420383
18/01/2019;29.0;Fear;3657.83935546875;5002961727
19/01/2019;31.0;Fear;3728.568359375;5955691380
20/01/2019;35.0;Fear;3601.013671875;5582489560
21/01/2019;30.0;Fear;3576.032470703125;5004347059
22/01/2019;27.0;Fear;3604.5771484375;5313623556
23/01/2019;33.0;Fear;3585.123046875;5433755649
24/01/2019;37.0;Fear;3600.865478515625;5262869046
25/01/2019;35.0;Fear;3599.765869140625;5265847539
26/01/2019;41.0;Fear;3602.46044921875;5098183235
27/01/2019;39.0;Fear;3583.9658203125;5570752966
28/01/2019;35.0;Fear;3470.450439453125;6908930483
29/01/2019;21.0;Extreme Fear;3448.116943359375;5897159493
30/01/2019;22.0;Extreme Fear;3486.181640625;5955112627
31/01/2019;17.0;Extreme Fear;3457.792724609375;5831198271
01/02/2019;23.0;Extreme Fear;3487.9453125;5422926707
02/02/2019;22.0;Extreme Fear;3521.060791015625;5071623601
03/02/2019;19.0;Extreme Fear;3464.013427734375;5043937584
04/02/2019;27.0;Fear;3459.154052734375;5332718886
05/02/2019;21.0;Extreme Fear;3466.357421875;5227549545
06/02/2019;14.0;Extreme Fear;3413.767822265625;5482196038
07/02/2019;18.0;Extreme Fear;3399.4716796875;5004962683
08/02/2019;37.0;Fear;3666.7802734375;7735623101
09/02/2019;42.0;Fear;3671.20361328125;6158833645
10/02/2019;40.0;Fear;3690.188232421875;6282256903
11/02/2019;46.0;Fear;3648.4306640625;6277056434
12/02/2019;38.0;Fear;3653.528564453125;6480384532
13/02/2019;48.0;Neutral;3632.070556640625;6438903823
14/02/2019;48.0;Neutral;3616.880859375;6271044418
15/02/2019;43.0;Fear;3620.810791015625;6091952231
16/02/2019;43.0;Fear;3629.78759765625;5934744052
17/02/2019;38.0;Fear;3673.836181640625;7039512503
18/02/2019;63.0;Greed;3915.71435546875;9908216640
19/02/2019;65.0;Greed;3947.094482421875;9933626655
20/02/2019;59.0;Greed;3999.820556640625;8693373948
21/02/2019;59.0;Greed;3954.1181640625;7775128102
22/02/2019;61.0;Greed;4005.526611328125;7826525254
23/02/2019;63.0;Greed;4142.52685546875;8922258316
24/02/2019;69.0;Greed;3810.427490234375;10794227451
25/02/2019;47.0;Neutral;3882.6962890625;9318796067
26/02/2019;40.0;Fear;3854.35791015625;7931218996
27/02/2019;39.0;Fear;3851.04736328125;8301309684
28/02/2019;39.0;Fear;3854.785400390625;8399767798
01/03/2019;42.0;Fear;3859.583740234375;7661247975
02/03/2019;41.0;Fear;3864.4150390625;7578786076
03/03/2019;44.0;Fear;3847.17578125;7253558152
04/03/2019;36.0;Fear;3761.55712890625;9029175788
05/03/2019;35.0;Fear;3896.375;10174126415
06/03/2019;42.0;Fear;3903.942626953125;9175291529
07/03/2019;56.0;Greed;3911.484375;9584165519
08/03/2019;54.0;Neutral;3901.131591796875;10638638944
09/03/2019;55.0;Greed;3963.313720703125;10796103518
10/03/2019;55.0;Greed;3951.599853515625;9713267607
11/03/2019;56.0;Greed;3905.227294921875;10125901903
12/03/2019;56.0;Greed;3909.15625;9809887079
13/03/2019;54.0;Neutral;3906.71728515625;9469184841
14/03/2019;55.0;Greed;3924.369140625;10480789570
15/03/2019;55.0;Greed;3960.9111328125;9394210605
16/03/2019;54.0;Neutral;4048.725830078125;9856166973
17/03/2019;58.0;Greed;4025.22900390625;8221625400
18/03/2019;56.0;Greed;4032.50732421875;9646954186
19/03/2019;56.0;Greed;4071.190185546875;9344919956
20/03/2019;55.0;Greed;4087.476318359375;10175916388
21/03/2019;62.0;Greed;4029.326904296875;10831212662
22/03/2019;56.0;Greed;4023.96826171875;9252935969
23/03/2019;50.0;Neutral;4035.826416015625;9578850549
24/03/2019;44.0;Fear;4022.168212890625;9144851065
25/03/2019;46.0;Fear;3963.070556640625;10359818883
26/03/2019;43.0;Fear;3985.080810546875;10707678815
27/03/2019;44.0;Fear;4087.066162109375;10897131934
28/03/2019;49.0;Neutral;4069.107177734375;9353915899
29/03/2019;50.0;Neutral;4098.37451171875;10918665557
30/03/2019;57.0;Greed;4106.66015625;9732688060
31/03/2019;56.0;Greed;4105.404296875;9045122443
01/04/2019;62.0;Greed;4158.18310546875;10157794171
02/04/2019;60.0;Greed;4879.8779296875;21315047816
03/04/2019;71.0;Greed;4973.02197265625;22899891582
04/04/2019;61.0;Greed;4922.798828125;18251810240
05/04/2019;59.0;Greed;5036.68115234375;16837325387
06/04/2019;65.0;Greed;5059.8173828125;16929795194
07/04/2019;69.0;Greed;5198.89697265625;16655416140
08/04/2019;65.0;Greed;5289.77099609375;17154113634
09/04/2019;64.0;Greed;5204.95849609375;14722104361
10/04/2019;62.0;Greed;5324.5517578125;15504590933
11/04/2019;65.0;Greed;5064.48779296875;16555616019
12/04/2019;42.0;Fear;5089.5390625;13675206312
13/04/2019;62.0;Greed;5096.58642578125;10823289598
14/04/2019;51.0;Neutral;5167.72216796875;10391952498
15/04/2019;60.0;Greed;5067.1083984375;12290155061
16/04/2019;50.0;Neutral;5235.5595703125;11618660197
17/04/2019;61.0;Greed;5251.93798828125;12438480677
18/04/2019;64.0;Greed;5298.3857421875;13256489918
19/04/2019;61.0;Greed;5303.8125;13780238655
20/04/2019;62.0;Greed;5337.88623046875;13169647522
21/04/2019;62.0;Greed;5314.53125;13731844223
22/04/2019;61.0;Greed;5399.365234375;14601631648
23/04/2019;68.0;Greed;5572.3623046875;15867308108
24/04/2019;65.0;Greed;5464.86669921875;17048033399
25/04/2019;58.0;Greed;5210.515625;15330283408
26/04/2019;41.0;Fear;5279.34814453125;16812108040
27/04/2019;42.0;Fear;5268.291015625;13111274675
28/04/2019;40.0;Fear;5285.13916015625;12819992056
29/04/2019;42.0;Fear;5247.3525390625;13735490672
30/04/2019;42.0;Fear;5350.7265625;13878964574
01/05/2019;51.0;Neutral;5402.697265625;13679528236
02/05/2019;50.0;Neutral;5505.28369140625;14644460907
03/05/2019;63.0;Greed;5768.28955078125;18720780006
04/05/2019;66.0;Greed;5831.16748046875;17567780766
05/05/2019;67.0;Greed;5795.70849609375;14808830723
06/05/2019;57.0;Greed;5746.80712890625;15737171804
07/05/2019;69.0;Greed;5829.50146484375;18026409033
08/05/2019;63.0;Greed;5982.45751953125;15320605300
09/05/2019;69.0;Greed;6174.52880859375;16784645411
10/05/2019;71.0;Greed;6378.84912109375;19419875368
11/05/2019;76.0;Extreme Greed;7204.771484375;28867562329
12/05/2019;75.0;Greed;6972.37158203125;27773333680
13/05/2019;78.0;Extreme Greed;7814.9150390625;28677672181
14/05/2019;78.0;Extreme Greed;7994.416015625;32031452227
15/05/2019;77.0;Extreme Greed;8205.16796875;28344112920
16/05/2019;75.0;Greed;7884.9091796875;33167197581
17/05/2019;65.0;Greed;7343.8955078125;30066644905
18/05/2019;67.0;Greed;7271.2080078125;21354286562
19/05/2019;70.0;Greed;8197.689453125;25902422040
20/05/2019;73.0;Greed;7978.30908203125;23843404340
21/05/2019;68.0;Greed;7963.32763671875;25127245056
22/05/2019;69.0;Greed;7680.06640625;24719473175
23/05/2019;65.0;Greed;7881.8466796875;24457107820
24/05/2019;64.0;Greed;7987.37158203125;25919126991
25/05/2019;69.0;Greed;8052.5439453125;22256813107
26/05/2019;67.0;Greed;8673.2158203125;26677970091
27/05/2019;70.0;Greed;8805.7783203125;27949839564
