,time,open,high,low,close,volume,turnover,24h_high,breakout_24h,closed_above_breakout_24h,7d_high,breakout_7d,closed_above_breakout_7d,perf_break24h_h1,perf_break24h_h4,perf_break7d_h1,perf_break7d_h4,perf_break7d_h12,perf_break7d_h24,perf_break24h_h1_from_close,perf_break24h_h4_from_close,perf_break7d_h1_from_close,perf_break7d_h4_from_close,perf_break7d_h12_from_close,perf_break7d_h24_from_close
2024-01-23 21:00:37,1706043600000,0.0010146,0.0010173,0.0010047,0.0010131,1043018200,1054625.18456,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 21:59:36,1706047200000,0.0010131,0.00103,0.0010131,0.0010257,801208700,818439.20725,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:00:46,1706050800000,0.0010257,0.0010424,0.0010257,0.0010414,1835301600,1904115.19805,,False,False,,False,False,,,,,,,,,,,,
2024-01-23 23:59:45,1706054400000,0.0010414,0.0010546,0.0010345,0.0010516,1547015800,1615440.83053,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:00:55,1706058000000,0.0010516,0.0010516,0.001031,0.0010324,1162563700,1207788.18586,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 01:59:54,1706061600000,0.0010324,0.0010366,0.001027,0.0010345,419361100,432709.66501,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 03:01:04,1706065200000,0.0010345,0.0010364,0.0010259,0.0010281,1070681900,1103552.13429,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:00:03,1706068800000,0.0010281,0.0010343,0.0010242,0.0010249,773575000,796147.20854,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 04:59:02,1706072400000,0.0010249,0.0010371,0.0010243,0.0010346,487542100,503112.43771,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:00:12,1706076000000,0.0010346,0.0010415,0.0010266,0.0010411,1251864500,1295811.84,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 06:59:11,1706079600000,0.0010411,0.0010509,0.0010352,0.0010447,1228964700,1282641.72013,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:00:21,1706083200000,0.0010447,0.0010524,0.0010406,0.001047,1063973800,1113540.36015,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 08:59:20,1706086800000,0.001047,0.0010567,0.0010457,0.0010531,1171439400,1231474.85825,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 10:00:30,1706090400000,0.0010531,0.001068,0.0010521,0.0010638,2135719300,2264935.36559,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 10:59:29,1706094000000,0.0010638,0.0010645,0.0010499,0.0010546,853236000,900443.28837,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 12:00:39,1706097600000,0.0010546,0.0010585,0.0010352,0.0010369,1883628800,1969013.51189,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 12:59:38,1706101200000,0.0010369,0.0010375,0.0010237,0.0010272,2073200200,2139351.41764,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 14:00:48,1706104800000,0.0010272,0.0010421,0.0010223,0.001029,2192089500,2261444.92301,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 14:59:47,1706108400000,0.001029,0.0010449,0.0010252,0.0010443,1658321100,1719831.41866,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 16:00:57,1706112000000,0.0010443,0.0010551,0.0010388,0.0010537,1099938000,1150353.45624,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 16:59:56,1706115600000,0.0010537,0.0010544,0.0010439,0.0010471,950983700,998048.89619,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 17:58:55,1706119200000,0.0010471,0.0010473,0.001027,0.0010352,1488546900,1540581.14868,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 19:00:05,1706122800000,0.0010352,0.001038,0.0010301,0.0010345,448024800,463461.45192,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 19:59:04,1706126400000,0.0010345,0.0010405,0.0010217,0.0010238,1056069900,1087078.18873,,False,False,,False,False,,,,,,,,,,,,
2024-01-24 21:00:14,1706130000000,0.0010238,0.0010311,0.0010229,0.0010264,480435900,493005.58829,0.001068,False,False,,False,False,,,,,,,,,,,,
2024-01-24 21:59:13,1706133600000,0.0010264,0.0010308,0.0010245,0.0010285,453994400,466733.91888,0.001068,False,False,,False,False,,,,,,,,,,,,
2024-01-24 23:00:23,1706137200000,0.0010285,0.0010449,0.0010285,0.0010429,874346300,907130.90027,0.001068,False,False,,False,False,,,,,,,,,,,,
2024-01-24 23:59:22,1706140800000,0.0010429,0.0010475,0.0010378,0.001044,902339300,940317.44921,0.001068,False,False,,False,False,,,,,,,,,,,,
2024-01-25 01:00:32,1706144400000,0.001044,0.0010505,0.0010277,0.0010308,1252893300,1300977.51942,0.001068,False,False,,False,False,,,,,,,,,,,,
