,time,open,high,low,close,volume,turnover,24h_high,breakout_24h,closed_above_breakout_24h,7d_high,breakout_7d,closed_above_breakout_7d,perf_break24h_h1,perf_break24h_h4,perf_break7d_h1,perf_break7d_h4,perf_break7d_h12,perf_break7d_h24,perf_break24h_h1_from_close,perf_break24h_h4_from_close,perf_break7d_h1_from_close,perf_break7d_h4_from_close,perf_break7d_h12_from_close,perf_break7d_h24_from_close,drawdown_max_h1,drawdown_max_h4,drawdown_max_h12,drawdown_max_h24
2021-04-01 16:00:20,1617292800000,1943.55,1956.5,1939.25,1947.2,5015.83,9766824.176,,False,False,,False,False,,,,,,,,,,,,,-0.0022124462967250415,,,
2021-04-01 16:59:19,1617296400000,1947.2,1965.95,1930.7,1940.8,8015.6,15556676.48,,False,False,,False,False,,,,,,,,,,,,,-0.008473705834018077,,,
2021-04-01 18:00:29,1617300000000,1940.8,1980.0,1884.55,1969.15,19120.03,37650207.0745,,False,False,,False,False,,,,,,,,,,,,,-0.028982893652102226,,,
2021-04-01 18:59:28,1617303600000,1969.15,1988.4,1963.35,1977.0,6252.01,12360223.77,,False,False,,False,False,,,,,,,,,,,,,-0.002945433308788148,-0.04296269964197757,,
2021-04-01 20:00:38,1617307200000,1977.0,1986.1,1968.1,1972.1,4032.81,7953104.601,,False,False,,False,False,,,,,,,,,,,,,-0.004501770359130041,-0.0467627718765807,,
2021-04-01 20:59:37,1617310800000,1972.1,1975.5,1951.45,1966.1,5771.25,11346854.625,,False,False,,False,False,,,,,,,,,,,,,-0.010471071446681133,-0.044394300491861445,,
2021-04-01 22:00:47,1617314400000,1966.1,1973.95,1956.75,1972.2,3545.13,6991705.386,,False,False,,False,False,,,,,,,,,,,,,-0.004755607547937495,-0.007451299526982282,,
2021-04-01 22:59:46,1617318000000,1972.2,1978.6,1968.15,1968.15,2533.32,4985953.758,,False,False,,False,False,,,,,,,,,,,,,-0.002053544265287473,-0.010521245309806308,,
2021-04-02 00:00:56,1617321600000,1968.2,1973.45,1950.05,1958.45,5065.37,9920273.8765,,False,False,,False,False,,,,,,,,,,,,,-0.009221623818717656,-0.009221623818717656,,
2021-04-02 00:59:55,1617325200000,1958.45,1997.0,1958.45,1997.0,5671.59,11326165.23,,False,False,,False,False,,,,,,,,,,,,,0.0,-0.004289106180908418,,
2021-04-02 02:01:05,1617328800000,1997.0,2011.9,1991.1,2001.85,9713.25,19444469.5125,,False,False,,False,False,,,,,,,,,,,,,-0.0029544316474712524,-0.02351026539809717,,
2021-04-02 03:00:04,1617332400000,2001.85,2017.65,1993.4,1998.55,7781.68,15552076.564,,False,False,,False,False,,,,,,,,,,,,,-0.0042210954866747355,-0.025876064640207787,-0.0585957988860304,
2021-04-02 03:59:03,1617336000000,1998.55,2003.35,1990.35,1996.7,3611.6,7211281.72,,False,False,,False,False,,,,,,,,,,,,,-0.004102974656626077,-0.020064546796427364,-0.057041354982362215,
2021-04-02 05:00:13,1617339600000,1996.7,2001.4,1991.45,1991.55,2444.5,4868343.975,,False,False,,False,False,,,,,,,,,,,,,-0.0026293384083738167,-0.003180247408223637,-0.05616767666649977,
2021-04-02 05:59:12,1617343200000,1991.55,2001.35,1982.25,1997.0,4803.28,9592150.16,,False,False,,False,False,,,,,,,,,,,,,-0.004669729607592054,-0.004669729607592054,-0.020838040722050664,
2021-04-02 07:00:22,1617346800000,1997.0,2010.5,1995.8,1998.5,3705.25,7404942.125,,False,False,,False,False,,,,,,,,,,,,,-0.0006009013520280648,-0.007386079118678017,-0.02351026539809717,
2021-04-02 07:59:21,1617350400000,1998.5,2010.1,1994.3,1994.3,3035.55,6053797.365,,False,False,,False,False,,,,,,,,,,,,,-0.002101576182136625,-0.008131098323742807,-0.024243182386790116,
2021-04-02 09:00:31,1617354000000,1994.3,1999.9,1985.35,1998.1,3319.19,6632073.539,,False,False,,False,False,,,,,,,,,,,,,-0.0044877902020759395,-0.006042220327934591,-0.02218823647395076,
2021-04-02 09:59:30,1617357600000,1998.1,2005.25,1991.75,2004.5,1761,3529924.5,,False,False,,False,False,,,,,,,,,,,,,-0.0031780191181622086,-0.006381062008908463,-0.0240478454531805,
2021-04-02 11:00:40,1617361200000,2004.5,2009.0,2001.5,2009.0,3102.29,6232500.61,,False,False,,False,False,,,,,,,,,,,,,-0.0014966325767024195,-0.009553504614617157,-0.02716388126714894,
2021-04-02 11:59:39,1617364800000,2009.0,2014.75,1996.7,2006.35,3062.3,6144045.605,,False,False,,False,False,,,,,,,,,,,,,-0.006122448979591814,-0.011772025883524186,-0.025161772025883503,
2021-04-02 13:00:49,1617368400000,2006.35,2008.95,1989.55,2008.15,5531.71,11108503.4365,,False,False,,False,False,,,,,,,,,,,,,-0.008373414409250607,-0.008373414409250607,-0.012011862337079727,
2021-04-02 13:59:47,1617372000000,2008.15,2079.3,2006.15,2073.1,21661.06,44905543.486,,False,False,,False,False,,,,,,,,,,,,,-0.0009959415382317057,-0.009262256305554932,-0.012897442920100635,
2021-04-02 15:00:57,1617375600000,2073.1,2086.4,2057.45,2075.95,17865.13,37087116.6235,,False,False,,False,False,,,,,,,,,,,,,-0.00754908108629593,-0.04030196324345182,-0.04382325985239492,-0.09095075008441462
2021-04-02 15:59:56,1617379200000,2075.95,2085.4,2052.2,2060.85,12254.74,25255180.929,2086.4,False,False,,False,False,,,,,,,,,,,,,-0.011440545292516681,-0.04161949950625009,-0.04513596184879204,-0.09219875237842909
2021-04-02 16:58:55,1617382800000,2060.85,2062.85,2044.1,2055.7,6606.33,13580632.581,2086.4,False,False,,False,False,,,,,,,,,,,,,-0.008127714292646238,-0.026542446078074492,-0.0381396025911638,-0.08554722565931532
