,entry strat, entry_strategy, sl_strategy, tp_strategy, num trades, perf, avg_perf, win_rate
29821,{'7d_volume_per_trade_rank': ['x == 2']  'relative_volume': ['x > 3']  'n_hours_breakout_high': ['x > 168']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_x_sigma_1,tp_xpercent_4,10,12.84,1.28,50.0
32520,{'mainly_full_green': ['x == True']  'duration_above_SMA20_d': ['x > 2']  '7d_volume_per_trade_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_percent_1,tp_x_sigma_3,11,12.84,1.17,54.5
172134,{'closed_green': ['x == True']  'duration_above_SMA20_d': ['x > 2']  'relative_volume': ['x > 3']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1,tp_xpercent_4,10,12.84,1.28,50.0
127510,{'longs_24h_chg%': ['x < -5']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_x_sigma_1,tp_xpercent_4,8,12.84,1.6,62.5
114805,{'duration_above_SMA20_d': ['x > 5']  'h1_chg': ['x > 1']  'prev_3h_chg': ['x > 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_percent_1,tp_x_sigma_2.5,9,12.84,1.43,55.6
24956,{'closed_green': ['x == True']  '7d_dollar_volume_rank': ['x == 2']  'longs_24h_chg%': ['x < -5']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1,tp_xpercent_4,8,12.84,1.6,62.5
93355,{'mainly_full_green': ['x == True']  'week_end': ['x == False']  'longs_24h_chg%': ['x < -2']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_4,7,12.83,1.83,71.4
193244,{'30d_volume_per_trade_rank': ['x == 2']  'oi_24h_chg%': ['x > 3']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,12.83,0.8,18.8
175912,{'relative_volume': ['x > 2']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_previous_low,tp_x_sigma_2.5,20,12.83,0.64,55.0
182642,{'7d_dollar_volume_rank': ['x == 2']  '7d_volume_per_trade_rank': ['x == 2']  'oi_24h_chg%': ['x > 3']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,12.83,0.8,18.8
172542,{'7d_dollar_volume_rank': ['x == 2']  'longs_24h_chg%': ['x < -2']  'oi_24h_chg%': ['x > 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,12.83,0.8,18.8
178242,{'relative_volume': ['x > 2']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_previous_low,tp_x_sigma_2.5,20,12.83,0.64,55.0
187138,{'mainly_full_green': ['x == True']  '30d_volume_per_trade_rank': ['x == 2']  'long_%': ['x > 40']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1,tp_xpercent_2.5,10,12.83,1.28,60.0
116779,{'7d_dollar_volume_rank': ['x == 2']  'fundings_rank': ['x == 2']  'long_%': ['x < 50']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_xpercent_2,11,12.83,1.17,54.5
151373,{'oi_24h_chg%': ['x > 3']  'prev_24h_chg': ['x > 1']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_half_low,tp_xpercent_5,16,12.83,0.8,18.8
185892,{'7d_volume_per_trade_rank': ['x == 2']  'oi_24h_chg%': ['x > 3']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_half_low,tp_xpercent_5,16,12.83,0.8,18.8
145480,{'duration_above_SMA20_d': ['x > 1']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 336']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_low,tp_x_sigma_2.5,18,12.82,0.71,44.4
48218,{'duration_above_SMA20_d': ['x > 2']  'relative_volume': ['x > 3']  'longs_24h_chg%': ['x < -2']  'n_hours_breakout_close': ['x > 4320']},entry_close,sl_half_low,tp_xpercent_2.5,6,12.82,2.14,83.3
118656,{'30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'oi_24h_chg%': ['x > 1']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_xpercent_2,16,12.82,0.8,43.8
49007,{'duration_above_SMA20_d': ['x > 3']  'relative_volume': ['x > 3']  'longs_24h_chg%': ['x < -3']  'n_hours_breakout_close': ['x > 4320']},entry_close,sl_half_low,tp_xpercent_2.5,6,12.82,2.14,83.3
184695,{'30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'prev_3h_chg': ['x > 1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_xpercent_2.5,14,12.82,0.92,50.0
16674,{'closed_green': ['x == True']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 336']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_low,tp_x_sigma_2.5,18,12.82,0.71,44.4
125553,{'duration_above_SMA20_d': ['x > 2']  '7d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 336']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_low,tp_x_sigma_2.5,18,12.82,0.71,44.4
93969,{'relative_volume': ['x > 2']  'longs_24h_chg%': ['x < -3']  'long_%': ['x < 70']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_previous_low,tp_xpercent_1.5,17,12.82,0.75,76.5
62388,{'7d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -5']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_close': ['x > 1440']},entry_close,sl_low,tp_x_sigma_2.5,6,12.82,2.14,66.7
139582,{'week_end': ['x == False']  '30d_dollar_volume_rank': ['x == 2']  'long_%': ['x < 50']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_x_sigma_1,tp_xpercent_3,14,12.82,0.92,50.0
38508,{'week_end': ['x == False']  '30d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_x_sigma_2.5,18,12.82,0.71,44.4
86880,{'duration_above_SMA20_d': ['x > 2']  'long_%': ['x < 60']  'n_hours_breakout_high': ['x > 336']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_x_sigma_2.5,18,12.82,0.71,44.4
103393,{'duration_above_SMA20_d': ['x > 2']  '30d_volume_per_trade_rank': ['x == 2']  'relative_volume': ['x > 2']  'n_hours_breakout_close': ['x > 720']},entry_close,sl_low,tp_xpercent_5,15,12.82,0.85,33.3
3355,{'duration_above_SMA20_d': ['x > 2']  '7d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_x_sigma_2.5,18,12.82,0.71,44.4
139578,{'week_end': ['x == False']  '30d_dollar_volume_rank': ['x == 2']  'long_%': ['x < 50']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_x_sigma_1,tp_xpercent_2.5,16,12.81,0.8,56.2
80876,{'duration_above_SMA20_d': ['x > 1']  'dollar_volume': ['x > 100000000']  'relative_volume': ['x > 3']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_x_sigma_1.5,tp_xpercent_2,17,12.81,0.75,76.5
52730,{'mainly_full_green': ['x == True']  'duration_above_SMA20_d': ['x > 2']  'prev_3h_chg': ['x > 1']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_2.5,14,12.81,0.92,71.4
59580,{'7d_volume_per_trade_rank': ['x == 2']  'fundings_rank': ['x == 2']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_x_percent_1,tp_x_sigma_2,11,12.81,1.16,54.5
